candidate_id,stem,seed,source_row_index,neoplastic_centroid_count,inflammatory_centroid_count,candidate_order,seed_index,config_id,green_sd,controlnet_strength,denoising_steps,spatial_score
candidate_0353,TCGA-GM-A2DH_x53248_y50176_BL,139506895,461,108,3,10,2,cfg01_gm1_c2_s30,-1.0,2.0,30,0.9401709401709402
candidate_0354,HCM-CSHL-0366-C50_x12288_y18432_TL,743260157,462,52,1,6,6,cfg00_g0_c2_s30,0.0,2.0,30,0.9516129032258064
candidate_0355,TCGA-BH-A0C3_x46080_y74752_TR,1855376033,463,31,14,0,0,cfg00_g0_c2_s30,0.0,2.0,30,0.8137254901960784
candidate_0356,TCGA-BH-A0AY_x76800_y43008_BR,1464608549,464,13,3,0,0,cfg00_g0_c2_s30,0.0,2.0,30,0.6666666666666666
candidate_0357,TCGA-AO-A1KO_x44032_y22528_BR,527407025,465,3,11,9,1,cfg01_gm1_c2_s30,-1.0,2.0,30,0.4148936170212766
candidate_0358,TCGA-D8-A1XV_x37888_y26624_TR,142344232,466,2,2,10,2,cfg01_gm1_c2_s30,-1.0,2.0,30,0.8888888888888888
candidate_0359,TCGA-OL-A6VO_x82944_y164864_TL,1974251840,467,13,6,14,6,cfg01_gm1_c2_s30,-1.0,2.0,30,0.5102040816326531
candidate_0360,TCGA-BH-A0H9_x34816_y59392_BR,1287278506,468,16,15,4,4,cfg00_g0_c2_s30,0.0,2.0,30,0.796875
candidate_0361,TCGA-E2-A15H_x108544_y40960_BR,1790683209,469,9,1,7,7,cfg00_g0_c2_s30,0.0,2.0,30,0.75
candidate_0362,TCGA-D8-A27V_x119808_y33792_TL,1068256334,471,5,2,5,5,cfg00_g0_c2_s30,0.0,2.0,30,0.7948717948717948
candidate_0363,TCGA-AQ-A04H_x125952_y22528_BL,2120923369,472,100,4,9,1,cfg01_gm1_c2_s30,-1.0,2.0,30,0.8956521739130435
candidate_0364,TCGA-E9-A245_x27648_y41984_BL,1167396640,473,24,7,7,7,cfg00_g0_c2_s30,0.0,2.0,30,0.7469879518072289
candidate_0365,TCGA-E2-A1IE_x83968_y25600_TR,953487480,474,49,2,7,7,cfg00_g0_c2_s30,0.0,2.0,30,0.7972972972972973
candidate_0366,TCGA-AN-A0FF_x100352_y24576_BL,238188798,475,3,39,3,3,cfg00_g0_c2_s30,0.0,2.0,30,0.8295454545454546
candidate_0367,TCGA-A7-A4SB_x57344_y65536_TL,9113794,476,18,2,10,2,cfg01_gm1_c2_s30,-1.0,2.0,30,0.8214285714285714
candidate_0368,TCGA-BH-A18J_x18432_y13312_TL,1975506456,479,18,4,2,2,cfg00_g0_c2_s30,0.0,2.0,30,0.8536585365853658
candidate_0369,TCGA-AR-A1AV_x27648_y49152_BL,650732128,481,15,4,5,5,cfg00_g0_c2_s30,0.0,2.0,30,0.8048780487804879
candidate_0370,TCGA-AO-A0JE_x142336_y23552_TL,1414170218,484,19,19,2,2,cfg00_g0_c2_s30,0.0,2.0,30,0.7441860465116279
candidate_0371,TCGA-AC-A2FO_x99328_y23552_BR,1038287091,485,8,3,3,3,cfg00_g0_c2_s30,0.0,2.0,30,0.7272727272727273
candidate_0372,TCGA-A2-A0CV_x131072_y11264_BR,1358409465,486,58,1,4,4,cfg00_g0_c2_s30,0.0,2.0,30,0.8961038961038961
candidate_0373,TCGA-A2-A0YJ_x57344_y24576_TR,2112020749,487,21,9,1,1,cfg00_g0_c2_s30,0.0,2.0,30,0.7936507936507936
candidate_0374,TCGA-AR-A24Z_x33792_y38912_TL,1549121977,488,49,2,6,6,cfg00_g0_c2_s30,0.0,2.0,30,0.7375
candidate_0375,TCGA-E2-A1IG_x84992_y64512_BR,1638772090,489,15,1,8,0,cfg01_gm1_c2_s30,-1.0,2.0,30,0.6595744680851063
candidate_0376,TCGA-A7-A0DB_x146432_y13312_BL,2119322920,490,13,2,6,6,cfg00_g0_c2_s30,0.0,2.0,30,0.7678571428571429
candidate_0377,TCGA-D8-A1JL_x39936_y73728_TL,128636549,492,47,2,11,3,cfg01_gm1_c2_s30,-1.0,2.0,30,0.796875
candidate_0378,TCGA-OL-A5RX_x72704_y13312_BL,329700965,493,101,7,6,6,cfg00_g0_c2_s30,0.0,2.0,30,0.8455284552845529
candidate_0379,TCGA-E9-A1ND_x13312_y16384_TR,1037043368,496,7,23,3,3,cfg00_g0_c2_s30,0.0,2.0,30,0.8043478260869565
candidate_0380,TCGA-D8-A13Y_x19456_y31744_TR,659881622,497,72,2,6,6,cfg00_g0_c2_s30,0.0,2.0,30,0.7920792079207921
candidate_0381,TCGA-AR-A24X_x24576_y24576_TL,634386252,498,24,7,5,5,cfg00_g0_c2_s30,0.0,2.0,30,0.7205882352941176
candidate_0382,TCGA-AC-A2QH_x31744_y4096_TL,1523928500,499,61,2,6,6,cfg00_g0_c2_s30,0.0,2.0,30,0.9552238805970148
candidate_0383,TCGA-5T-A9QA_x19456_y14336_BR,1702903149,500,41,31,7,7,cfg00_g0_c2_s30,0.0,2.0,30,0.7961165048543689
candidate_0384,TCGA-D8-A1XM_x31744_y57344_TL,711674009,502,47,1,2,2,cfg00_g0_c2_s30,0.0,2.0,30,0.9491525423728814
candidate_0385,TCGA-AQ-A7U7_x56320_y47104_BR,385885258,503,28,3,3,3,cfg00_g0_c2_s30,0.0,2.0,30,0.7704918032786885
candidate_0386,TCGA-E9-A54Y_x67584_y10240_BR,1709667492,505,77,3,14,6,cfg01_gm1_c2_s30,-1.0,2.0,30,0.8924731182795699
candidate_0387,TCGA-E2-A15G_x29696_y38912_BL,483768909,506,86,5,6,6,cfg00_g0_c2_s30,0.0,2.0,30,0.802547770700637
candidate_0388,TCGA-A2-A1FX_x57344_y31744_TL,1719297438,507,13,3,3,3,cfg00_g0_c2_s30,0.0,2.0,30,0.7796610169491526
candidate_0389,TCGA-LD-A66U_x61440_y64512_BR,1392653654,508,29,32,3,3,cfg00_g0_c2_s30,0.0,2.0,30,0.8067226890756303
candidate_0390,TCGA-AR-A256_x45056_y24576_TL,882124892,509,23,2,13,5,cfg01_gm1_c2_s30,-1.0,2.0,30,0.9285714285714286
candidate_0391,TCGA-A8-A08O_x33792_y12288_TR,2053286766,510,26,3,3,3,cfg00_g0_c2_s30,0.0,2.0,30,0.8918918918918919
candidate_0392,TCGA-E2-A14Y_x70656_y11264_BL,1718593195,511,31,4,6,6,cfg00_g0_c2_s30,0.0,2.0,30,0.7659574468085106
candidate_0393,TCGA-A8-A09K_x68608_y14336_TR,940810746,512,50,1,4,4,cfg00_g0_c2_s30,0.0,2.0,30,0.8490566037735849
candidate_0394,TCGA-LD-A7W5_x95232_y46080_BL,1710429851,515,2,31,6,6,cfg00_g0_c2_s30,0.0,2.0,30,0.7619047619047619
candidate_0395,TCGA-BH-A0EA_x10240_y19456_TL,1833457667,516,14,2,5,5,cfg00_g0_c2_s30,0.0,2.0,30,0.6956521739130435
candidate_0396,TCGA-D8-A27V_x37888_y35840_BL,136272773,517,15,2,2,2,cfg00_g0_c2_s30,0.0,2.0,30,0.5
candidate_0397,TCGA-E9-A227_x25600_y43008_BL,1817550177,518,98,2,11,3,cfg01_gm1_c2_s30,-1.0,2.0,30,0.8623853211009175
candidate_0398,TCGA-GM-A2DH_x45056_y38912_BL,59276705,520,151,1,4,4,cfg00_g0_c2_s30,0.0,2.0,30,0.9743589743589745
candidate_0399,TCGA-E2-A105_x82944_y27648_TL,9447674,521,47,5,9,1,cfg01_gm1_c2_s30,-1.0,2.0,30,0.8666666666666667
candidate_0400,TCGA-AC-A6IX_x22528_y10240_BR,1363092081,522,119,10,0,0,cfg00_g0_c2_s30,0.0,2.0,30,0.9172932330827068
candidate_0401,TCGA-E2-A1IG_x36864_y46080_BR,2051686537,523,22,4,9,1,cfg01_gm1_c2_s30,-1.0,2.0,30,0.8235294117647058
candidate_0402,TCGA-E2-A10E_x41984_y44032_BL,1800825588,524,12,6,7,7,cfg00_g0_c2_s30,0.0,2.0,30,0.8947368421052632
candidate_0403,TCGA-B6-A0I8_x34816_y73728_BL,1727811368,525,6,1,9,1,cfg01_gm1_c2_s30,-1.0,2.0,30,0.7241379310344828
candidate_0404,TCGA-AR-A254_x19456_y18432_TR,1715360358,526,30,20,2,2,cfg00_g0_c2_s30,0.0,2.0,30,0.7395833333333334
candidate_0405,TCGA-EW-A1IY_x46080_y29696_BR,125812740,528,11,1,8,0,cfg01_gm1_c2_s30,-1.0,2.0,30,1.0
candidate_0406,TCGA-AR-A24N_x99328_y43008_BR,1403200322,530,16,11,5,5,cfg00_g0_c2_s30,0.0,2.0,30,0.7
candidate_0407,TCGA-B6-A0WT_x41984_y60416_BL,1374792862,531,5,1,2,2,cfg00_g0_c2_s30,0.0,2.0,30,0.5333333333333333
